,id,event_id,type_id,event_name,period_id,min,sec,team_id,outcome,x,y,timestamp,last_modified,version,player_id,keypass,competition_id,game_id,home_team_id,home_team_name,away_team_id,away_team_name,competition_name,season_id,276,328,388,391,Assisted,Big Chance,Blocked x co-ordinate,Blocked y co-ordinate,Box-centre,Close left,From corner,GK X Coordinate,GK Y Coordinate,Goal mouth y co-ordinate,Goal mouth z co-ordinate,Head,High right,Individual Play,Intentional assist,Left,Not past goal line,Out of box-centre,Regular play,Related event ID,Right,Right footed,Set piece,Standing,Swerve Right,Throw-in set piece,Volley,Weak,Zone,assist,Box-left,High,Left footed,Close right,Free kick,Strong,Close high,35+ right,Close right and high,Swerve Left,35+ centre,Box-right,Box-deep left,High left,Small box-right,233,Fast break,Keeper Saved,314,Close left and high,Small box-left,Small box-centre,Out of box-right,389,Out of box-deep right,Other body part,35+ left,Out of box-left,Out of box-deep left,Box-deep right
5,2230830857,293,13,Miss,1,34,47,371,1,72.4,48.2,2020-11-07T21:06:12.823,2020-11-10T06:58:43,1604991522771,215755,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,sim,-,,-,,-,-,-,-,,1.1,49.3,35.8,58.3,-,sim,sim,-,-,-,sim,-,-,-,sim,sim,sim,,,-,,Center,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2230833717,333,13,Miss,1,39,45,371,1,91.2,63.5,2020-11-07T21:11:10.806,2020-11-10T07:20:11,1604992810103,14938,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,sim,sim,,sim,,-,-,-,-,,0.9,46.6,48.9,88.9,-,-,sim,sim,-,-,-,sim,332,-,sim,-,-,,,sim,,Center,-,sim,sim,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2230857647,497,13,Miss,2,61,44,255,1,86.0,43.3,2020-11-07T21:52:07.118,2020-11-10T05:57:55,1604987875229,78108,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,sim,sim,,sim,,-,-,sim,-,,1.6,51.6,63.5,8.3,sim,-,-,sim,sim,-,-,-,496,-,-,-,-,,,-,,Center,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2230859033,619,13,Miss,2,65,1,371,1,84.8,72.0,2020-11-07T21:55:24.088,2020-11-10T07:12:12,1604992332850,14938,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,-,-,,sim,,-,-,-,-,,99.0,53.8,48.6,61.1,-,-,-,sim,-,-,-,sim,618,-,sim,-,sim,,,-,,Center,-,sim,sim,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2230860445,584,13,Miss,2,69,35,255,1,92.5,69.3,2020-11-07T21:59:58.475,2020-11-10T07:30:25,1604993425639,465206,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,-,-,,sim,,-,-,-,-,,0.9,46.2,57.6,65.3,-,-,sim,-,-,-,-,sim,582,-,-,-,sim,,,-,,Center,-,sim,-,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2230860803,678,13,Miss,2,70,48,371,1,73.6,62.9,2020-11-07T22:01:11.289,2020-11-10T07:35:08,1604993708723,457992,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,-,-,,sim,,98.6,39.3,-,-,,98.2,48.0,39.2,5.6,-,-,sim,-,-,sim,sim,sim,677,sim,sim,-,sim,,,-,,Center,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2230862791,733,13,Miss,2,76,27,371,1,79.2,75.4,2020-11-07T22:06:49.977,2020-11-10T05:56:10,1604987768964,14938,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,-,-,,sim,,-,-,-,sim,,99.3,51.1,58.8,13.9,-,-,sim,-,-,-,sim,sim,732,-,sim,-,sim,,,-,,Center,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2230866763,793,13,Miss,2,89,27,255,1,86.9,44.2,2020-11-07T22:19:50.177,2020-11-10T08:47:52,1604998073494,437913,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,sim,sim,,-,,-,-,sim,-,,0.9,50.9,63.2,6.9,sim,-,-,-,sim,-,-,sim,-,-,-,-,-,,,-,,Center,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2299983835,17,13,Miss,1,1,0,371,1,81.1,30.7,2021-05-16T20:02:08.034,2021-05-19T08:40:30,1621410029809,210200,-,99,2133460,740,Marítimo,371,Vitória Guimarães,Portuguese Primeira Liga,2020,,-,-,,sim,,,,-,,,98.9,47.1,75.6,2.8,,-,sim,-,sim,,sim,sim,14,,sim,,sim,-,,sim,,Center,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
1,2299993817,103,13,Miss,1,12,25,371,1,74.7,16.8,2021-05-16T20:13:32.938,2021-05-19T09:20:07,1621412407341,174592,-,99,2133460,740,Marítimo,371,Vitória Guimarães,Portuguese Primeira Liga,2020,,-,-,,-,,,,-,,,98.4,49.6,43.2,15.3,,-,-,-,-,,-,-,-,,-,,sim,-,,-,,Right,,,,sim,sim,sim,,,,,,,,,,,,,,,,,,,,,,,,,
2,2299998237,160,13,Miss,1,17,54,371,1,71.9,40.4,2021-05-16T20:19:01.411,2021-05-19T08:37:13,1621409476706,174592,-,99,2133460,740,Marítimo,371,Vitória Guimarães,Portuguese Primeira Liga,2020,,-,-,,-,,,,-,,,98.9,48.9,43.5,63.9,,sim,-,-,-,,sim,-,-,,-,,sim,sim,,-,,Center,,,,sim,-,sim,,,,,,,,,,,,,,,,,,,,,,,,,
3,2299998977,195,13,Miss,1,18,43,740,1,72.4,33.4,2021-05-16T20:19:51.070,2021-05-19T08:39:14,1621409598030,103741,-,99,2133460,740,Marítimo,371,Vitória Guimarães,Portuguese Primeira Liga,2020,,-,-,,-,,,,-,,,98.1,48.6,42.7,5.6,,-,sim,-,-,,sim,sim,-,,-,,sim,-,,-,,Center,,,,sim,sim,-,,,,,,,,,,,,,,,,,,,,,,,,,
4,2300006531,283,13,Miss,1,27,37,740,1,75.6,65.1,2021-05-16T20:28:44.621,2021-05-19T08:58:00,1621410723698,103741,-,99,2133460,740,Marítimo,371,Vitória Guimarães,Portuguese Primeira Liga,2020,,sim,-,,-,,,,-,,,98.0,51.1,58.8,77.8,,-,sim,-,-,,sim,sim,-,,-,,sim,-,,sim,,Center,,,,sim,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
